ChannelTitle=	Vol. Pulse	Blood Flow	ECG	
2.155	-1.31	-2.594	-30.8	
2.16	-1.32	-2.381	-35.6	
2.165	-1.32	-2.544	-21.1	
2.17	-1.33	-2.571	-6.3	
2.175	-1.34	-2.238	-1	
2.18	-1.34	-2.252	-14.8	
2.185	-1.35	-2.421	-29.2	
2.19	-1.35	-2.145	-21.8	
2.195	-1.36	-1.985	-25.3	
2.2	-1.36	-2.184	-37.8	
2.205	-1.37	-2.086	-6.8	
2.21	-1.37	-1.922	70.6	
2.215	-1.37	-2.208	199.8	
2.22	-1.38	-2.324	426.5	
2.225	-1.38	-2.043	621.3	
2.23	-1.39	-2.098	641.4	
2.235	-1.39	-2.344	534.6	
2.24	-1.4	-2.226	315.2	
2.245	-1.4	-2.252	40.9	
2.25	-1.41	-2.613	-88.4	
2.255	-1.41	-2.606	-62.6	
2.26	-1.42	-2.422	-22.6	
2.265	-1.43	-2.604	-23.2	
2.27	-1.43	-2.639	-34.7	
2.275	-1.44	-2.339	-26.8	
2.28	-1.44	-2.416	-16.9	
2.285	-1.45	-2.695	-28.2	
2.29	-1.46	-2.589	-47	
2.295	-1.46	-2.584	-51.2	
2.3	-1.47	-2.874	-51.1	
2.305	-1.48	-2.776	-38.1	
2.31	-1.48	-2.479	-29.4	
2.315	-1.49	-2.598	-29.4	
2.32	-1.5	-2.675	-30.5	
2.325	-1.5	-2.482	-22.4	
2.33	-1.51	-2.639	-6.5	
2.335	-1.51	-2.908	7	
2.34	-1.52	-2.734	4.4	
2.345	-1.53	-2.672	-13.7	
2.35	-1.53	-2.958	-12	
2.355	-1.54	-2.891	-0.9	
2.36	-1.55	-2.628	10.6	
2.365	-1.55	-2.726	18.9	
2.37	-1.56	-2.679	16.1	
2.375	-1.57	-2.336	22.2	
2.38	-1.57	-2.433	25.5	
2.385	-1.58	-2.752	13.1	
2.39	-1.58	-2.707	10.3	
2.395	-1.59	-2.806	20.8	
2.4	-1.6	-3.198	19.4	
2.405	-1.61	-3.128	22.5	
2.41	-1.61	-2.78	51.5	
2.415	-1.62	-2.758	73.1	
2.42	-1.63	-2.549	78.7	
2.425	-1.63	-1.989	96.9	
2.43	-1.63	-1.882	88.9	
2.435	-1.63	-2.082	71.4	
2.44	-1.64	-1.973	102.9	
2.445	-1.64	-1.998	137.9	
2.45	-1.64	-2.231	152.2	
2.455	-1.65	-1.755	164.4	
2.46	-1.64	-0.558	162.4	
2.465	-1.64	0.819	162.9	
2.47	-1.62	2.752	186.8	
2.475	-1.59	5.216	206.3	
2.48	-1.55	7.287	203.8	
2.485	-1.51	9.033	190.3	
2.49	-1.45	10.958	181.6	
2.495	-1.38	12.443	176	
2.5	-1.31	13.179	164.3	
2.505	-1.24	13.881	140.6	
2.51	-1.16	14.406	111.3	
2.515	-1.09	14.233	91.4	
2.52	-1.01	13.953	69.2	
2.525	-0.94	13.776	34.8	
2.53	-0.87	13.038	18.8	
2.535	-0.8	11.956	-2.7	
2.54	-0.74	11.107	-15.3	
2.545	-0.68	9.989	4.6	
2.55	-0.63	8.418	-33.8	
2.555	-0.59	7.151	-85.7	
2.56	-0.56	6.064	-86.4	
2.565	-0.53	4.598	-72.2	
2.57	-0.51	3.29	-61.3	
2.575	-0.49	2.382	-86.6	
2.58	-0.48	1.186	-94.3	
2.585	-0.47	-0.098	-92.2	
2.59	-0.47	-0.888	-99.3	
2.595	-0.48	-1.759	-73.7	
2.6	-0.49	-2.908	-55.6	
2.605	-0.5	-3.555	-62.7	
2.61	-0.52	-3.886	-69.3	
2.615	-0.54	-4.431	-65.7	
2.62	-0.56	-4.607	-56.7	
2.625	-0.58	-4.273	-55.2	
2.63	-0.59	-4.236	-50.5	
2.635	-0.61	-4.418	-47.8	
2.64	-0.63	-4.276	-50	
2.645	-0.65	-4.301	-45.6	
2.65	-0.67	-4.68	-47.9	
2.655	-0.69	-4.69	-38.8	
2.66	-0.71	-4.523	-37.1	
2.665	-0.73	-4.771	-40.2	
2.67	-0.75	-4.865	-23.3	
2.675	-0.77	-4.534	-7.3	
2.68	-0.79	-4.501	-23	
2.685	-0.81	-4.641	-55.8	
2.69	-0.83	-4.385	-65	
2.695	-0.85	-4.249	-38.8	
2.7	-0.86	-4.438	-1.9	
2.705	-0.88	-4.241	-27.5	
2.71	-0.9	-3.849	-44	
2.715	-0.91	-3.817	-29.7	
2.72	-0.93	-3.624	-31.6	
2.725	-0.94	-3.068	-18.5	
2.73	-0.95	-2.823	-21.5	
2.735	-0.96	-2.691	-37.8	
2.74	-0.97	-2.089	-41.9	
