Time 	VolPulse	BloodFlow	ECG	
2.560	-0.560	6.064	-86.400	
2.565	-0.530	4.598	-72.200	
2.570	-0.510	3.290	-61.300	
2.575	-0.490	2.382	-86.600	
2.580	-0.480	1.186	-94.300	
2.585	-0.470	-0.098	-92.200	
2.590	-0.470	-0.888	-99.300	
2.595	-0.480	-1.759	-73.700	
2.600	-0.490	-2.908	-55.600	
2.605	-0.500	-3.555	-62.700	
2.610	-0.520	-3.886	-69.300	
2.615	-0.540	-4.431	-65.700	
2.620	-0.560	-4.607	-56.700	
2.625	-0.580	-4.273	-55.200	
2.630	-0.590	-4.236	-50.500	
2.635	-0.610	-4.418	-47.800	
2.640	-0.630	-4.276	-50.000	
2.645	-0.650	-4.301	-45.600	
2.650	-0.670	-4.680	-47.900	
2.655	-0.690	-4.690	-38.800	
2.660	-0.710	-4.523	-37.100	
2.665	-0.730	-4.771	-40.200	
2.670	-0.750	-4.865	-23.300	
2.675	-0.770	-4.534	-7.300	
2.680	-0.790	-4.501	-23.000	
2.685	-0.810	-4.641	-55.800	
2.690	-0.830	-4.385	-65.000	
2.695	-0.850	-4.249	-38.800	
2.700	-0.860	-4.438	-1.900	
2.705	-0.880	-4.241	-27.500	
2.710	-0.900	-3.849	-44.000	
2.715	-0.910	-3.817	-29.700	
2.720	-0.930	-3.624	-31.600	
2.725	-0.940	-3.068	-18.500	
2.730	-0.950	-2.823	-21.500	
2.735	-0.960	-2.691	-37.800	
2.740	-0.970	-2.089	-41.900	
2.745	-0.970	-1.526	-32.600	
2.750	-0.970	-1.235	-34.900	
2.755	-0.970	-0.554	-32.800	
2.760	-0.970	0.312	-21.300	
2.765	-0.960	0.775	-34.600	
2.770	-0.950	1.361	-33.200	
2.775	-0.940	2.283	-28.300	
2.780	-0.920	2.771	-46.700	
2.785	-0.900	2.963	-52.600	
2.790	-0.880	3.492	-39.100	
2.795	-0.860	3.852	-19.400	
2.800	-0.840	3.704	-38.100	
2.805	-0.820	3.704	-57.700	
2.810	-0.790	3.767	-44.300	
2.815	-0.770	3.508	-38.400	
2.820	-0.750	3.542	-31.500	
2.825	-0.730	3.458	-35.100	
2.830	-0.710	1.949	-15.100	
2.835	-0.700	0.054	4.700	
2.840	-0.700	-0.317	-15.300	
2.845	-0.700	0.191	-24.900	
2.850	-0.700	0.052	-43.700	
2.855	-0.690	-0.693	-45.700	
2.860	-0.700	-1.510	-15.700	
2.865	-0.700	-2.191	-21.700	
2.870	-0.710	-2.469	-27.500	
2.875	-0.720	-2.533	-19.300	
2.880	-0.730	-2.788	-35.400	
2.885	-0.740	-2.621	-31.800	
2.890	-0.750	-1.631	-26.900	
2.895	-0.750	-1.124	-33.800	
2.900	-0.750	-1.769	-15.300	
2.905	-0.760	-2.476	14.700	
2.910	-0.770	-2.847	26.000	
2.915	-0.780	-3.217	25.100	
2.920	-0.800	-3.138	25.800	
2.925	-0.810	-2.631	32.200	
2.930	-0.820	-2.616	37.400	
2.935	-0.830	-3.010	20.000	
2.940	-0.840	-3.186	-15.600	
2.945	-0.850	-3.484	-45.100	
2.950	-0.860	-3.964	-35.700	
2.955	-0.880	-3.918	-15.300	
2.960	-0.900	-3.599	-10.000	
2.965	-0.910	-3.666	-18.100	
2.970	-0.920	-3.710	-48.100	
2.975	-0.940	-3.562	-53.300	
