Interval=	0.005 s
ExcelDateTime=	4.4476799837398881e+004	10/7/2021 19:11:45.951264
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Vol. Pulse	Blood Flow	ECG
Range=	20.00 mV.s	200.0 mV	500.0 µV
2.035	-1.10	-2.1	-85.5
2.04	-1.11	-2.0	-72.7
2.045	-1.11	-2.3	-76.3
2.05	-1.12	-2.8	-73.1
2.055	-1.13	-3.2	-36.5
2.06	-1.14	-3.6	-37.5
2.065	-1.16	-4.0	-59.6
2.07	-1.17	-4.1	-45.9
2.075	-1.19	-4.2	-38.0
2.08	-1.20	-4.5	-53.5
2.085	-1.22	-4.9	-45.0
2.09	-1.24	-5.2	-24.2
2.095	-1.26	-5.4	-43.1
2.1	-1.28	-5.5	-65.7
2.105	-1.30	-5.5	-57.9
2.11	-1.33	-5.5	-62.4
2.115	-1.35	-5.6	-89.4
2.12	-1.37	-5.4	-94.5
2.125	-1.39	-5.0	-89.8
2.13	-1.41	-5.0	-103.4
2.135	-1.43	-4.9	-101.4
2.14	-1.44	-4.7	-92.5
2.145	-1.46	-4.9	-104.0
2.15	-1.48	-5.2	-106.1
2.155	-1.50	-5.2	-95.5
2.16	-1.52	-5.0	-96.7
2.165	-1.53	-4.7	-115.1
2.17	-1.55	-4.3	-113.9
2.175	-1.56	-4.0	-100.8
2.18	-1.58	-4.0	-118.3
2.185	-1.59	-4.1	-117.5
2.19	-1.60	-4.2	-112.9
2.195	-1.62	-4.4	-140.4
2.2	-1.63	-4.4	-135.8
2.205	-1.65	-4.2	-86.8
2.21	-1.66	-4.1	-29.3
2.215	-1.67	-4.2	59.3
2.22	-1.69	-4.0	152.1
2.225	-1.70	-3.8	59.5
2.23	-1.71	-3.8	-135.7
2.235	-1.72	-4.0	-123.2
2.24	-1.73	-4.0	-147.9
2.245	-1.74	-4.1	-387.5
2.25	-1.76	-4.0	-493.8
2.255	-1.77	-3.7	-372.0
2.26	-1.78	-3.3	-240.6
2.265	-1.79	-3.2	-201.7
2.27	-1.79	-3.0	-179.7
2.275	-1.80	-2.8	-139.7
2.28	-1.80	-2.7	-119.2
2.285	-1.81	-2.7	-114.1
2.29	-1.81	-2.6	-100.9
2.295	-1.82	-2.8	-93.6
2.3	-1.83	-2.9	-93.5
2.305	-1.83	-2.7	-85.4
2.31	-1.84	-2.5	-78.6
2.315	-1.84	-2.4	-79.0
2.32	-1.84	-2.2	-66.8
2.325	-1.84	-2.0	-55.2
2.33	-1.85	-2.2	-68.9
2.335	-1.85	-2.7	-70.6
2.34	-1.86	-3.1	-53.6
2.345	-1.86	-3.6	-55.1
2.35	-1.88	-3.8	-57.0
2.355	-1.89	-3.6	-40.6
2.36	-1.89	-3.2	-43.0
2.365	-1.90	-3.0	-61.1
2.37	-1.91	-2.9	-46.0
2.375	-1.91	-2.7	-24.9
2.38	-1.92	-2.6	-42.0
2.385	-1.92	-2.5	-52.5
2.39	-1.92	-2.5	-31.6
2.395	-1.93	-2.8	-23.6
2.4	-1.93	-2.9	-26.8
2.405	-1.94	-2.7	-14.8
2.41	-1.94	-2.4	-6.2
2.415	-1.95	-2.2	-11.5
2.42	-1.95	-1.9	-6.2
2.425	-1.95	-1.4	2.1
2.43	-1.94	-1.4	-1.9
2.435	-1.94	-1.5	5.6
2.44	-1.94	-1.0	23.5
2.445	-1.93	0.4	24.3
2.45	-1.92	2.4	20.5
2.455	-1.89	5.0	29.6
2.46	-1.85	7.8	28.7
2.465	-1.79	10.5	10.8
2.47	-1.73	13.3	7.8
2.475	-1.65	15.9	9.9
2.48	-1.55	17.9	-9.6
2.485	-1.45	19.5	-25.1
2.49	-1.35	20.6	-23.9
2.495	-1.24	20.9	-31.9
2.5	-1.13	20.3	-47.6
2.505	-1.02	19.3	-37.8
2.51	-0.93	17.8	-36.8
2.515	-0.84	15.8	-61.6
2.52	-0.76	13.6	-64.7
2.525	-0.70	11.2	-46.1
2.53	-0.64	8.6	-43.6
2.535	-0.60	6.3	-53.3
2.54	-0.57	4.5	-46.7
2.545	-0.55	2.6	-50.1
2.55	-0.54	0.7	-62.0
